UNITUPI,NAMAUNITUPI,UNITAP,NAMAUNITAP,UNITUP,NAMAUNITUP,KD_PROV,NAMA_PROV,KD_KAB,NAMA_KAB,KD_KEC,NAMA_KEC,KD_DESA,NAMA_DESA,STATUS_DAERAH_3T,x
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110421,RUSIP ANTARA,1104212013,MERANDEH PAYA,TIDAK,"4.750507970295383, 96.4360357361487"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110421,RUSIP ANTARA,1104212014,KUALA RAWA,TIDAK,"4.758520752489744, 96.49913542610484"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110421,RUSIP ANTARA,1104212015,PILAR WIH KIRI,TIDAK,"4.601684091158487, 96.64016140440924"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1104,KAB. ACEH TENGAH,110421,RUSIP ANTARA,1104212016,LUT JAYA,TIDAK,"4.744319649284605, 96.45013951348888"
11,ACEH,11LSM,LHOKSEUMAWE,11229,TAKENGON,11,ACEH,1117,KAB. BENER MERIAH,111706,WIH PESAM,1117062014,MERIE SATU,TIDAK,"4.6769654759606425, 96.82607333302654"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102001,BAH,TIDAK,"4.688690549498045, 96.67422938869679"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102002,BLANG MANCUNG,TIDAK,"4.6902477738688235, 96.73545053812919"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102003,BINTANG PEPARA,TIDAK,"4.7653993305070435, 96.6740394294003"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102004,BURLAH,TIDAK,"4.724788650440468, 96.66762842106034"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102005,BUTER,TIDAK,"4.722749213383405, 96.71076721724022"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102007,GEULUMPANG PAYUNG,TIDAK,"4.6803116954918, 96.76326776553832"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102009,KALA KETOL,TIDAK,"4.710627277767571, 96.70022463987188"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102010,KARANG AMPAR,TIDAK,"4.84349735468915, 96.66203561281282"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102011,KEKUYANG,TIDAK,"4.73582559618779, 96.66641786278024"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102012,KUTE GELIME,TIDAK,"4.6855148009024825, 96.72889205886848"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102014,PANTAN REDUK,TIDAK,"4.811100373262052, 96.56722733653018"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102015,PONDOK BALIK,TIDAK,"4.722423031452111, 96.72196846376559"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102016,REJEWALI,TIDAK,"4.704305533456854, 96.71400439946638"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102017,SEREMPAH,TIDAK,"4.695844159979831, 96.6560582549578"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102018,BERGANG,TIDAK,"4.821776167151194, 96.69065099009862"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102019,BLANG MANCUNG BAWAH,TIDAK,"4.693181855865354, 96.74937480951766"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102020,BUGE ARA,TIDAK,"4.7418006747046935, 96.67307276687612"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102021,GENTING BULEN,TIDAK,"4.695075650743757, 96.71399910763445"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102022,JALAN TENGAH,TIDAK,"4.710851867946344, 96.70874785424104"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102023,JERATA,TIDAK,"4.670549492311823, 96.7120758195892"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110410,KETOL,1104102025,SELON,TIDAK,"4.699481492366566, 96.73101970239108"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122001,ATU GOGOP,TIDAK,"4.68861129675213, 96.76953021467304"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122002,BALIK,TIDAK,"4.7083565485937, 96.7443180223888"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122003,BUTER BALIK,TIDAK,"4.697498272322341, 96.73545657597833"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122004,DEDINGIN,TIDAK,"4.696279819786361, 96.77224082680604"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122005,KUTE PANANG,TIDAK,"4.695660736617764, 96.77229925281237"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122006,LUKUB SABUN,TIDAK,"4.692324588763958, 96.79201465816428"
11,ACEH,11LSM,LHOKSEUMAWE,11230,JANARATA,11,ACEH,1104,KAB. ACEH TENGAH,110412,KUTE PANANG,1104122007,PANTAN SILE,TIDAK,"4.666738911176085, 96.79500668273276"
