UNIT UP,NOMOR GARDU,NAMA GARDU,ALAMAT,LATITUDE,LONGITUDE,KAPASITAS TRAFO (kVA),FEEDER,Pemakaian (%),I rata-rata (A),Unbalanced (%),Update
11230 - JANARATA,GD112300090,BAN028-00,SELAMAT REJO,4.758083,96.943167,50,,,,,
11230 - JANARATA,GD112300089,BAN029-00,BAKARAN BATU,4.749851,96.950961,25,,,,,
11230 - JANARATA,GD112300030,BAN030-00,SPBU SP UTAMA,4.752073,96.903318,25,,,,,
11230 - JANARATA,GD112300035,BAN031-00,MAKMUR SENTOSA,4.750036,96.902629,50,,,,,
11230 - JANARATA,GD112300036,BAN032-00,HK WIH ILANG,4.735311,96.913031,100,,,,,
11230 - JANARATA,GD112300037,BAN033-00,LEWA JADI,4.720026,96.914102,50,,,,,
11230 - JANARATA,GD112300038,BAN034-00,TSEL HK WIH ILANG,4.735687,96.916616,50,,,,,
11230 - JANARATA,GD112300039,BAN035-00,HAKIM ATAS,4.730367,96.9286,25,,,,,
11230 - JANARATA,GD112300324,BAN036-00,TANJUNG PURA,4.735062,96.935329,50,,,,,
11230 - JANARATA,GD112300029,BAN037-00,PONDOK GAJAH I,4.752152,96.899697,100,,,,,
11230 - JANARATA,GD112300032,BAN038-00,WIH ILANG,4.743412,96.90139,50,,,,,
11230 - JANARATA,GD112300033,BAN039-00,BUKIT WIH ILANG,4.727208,96.906292,50,,,,,
11230 - JANARATA,GD112300034,BAN040-00,BATHIN BARU,4.762068,96.900209,25,,,,,
11230 - JANARATA,GD112300437,BAN041-00,BATIN BARU II,4.759721,96.902424,50,,,,,
11230 - JANARATA,GD112300438,BAN042-00,BATIN BARU III,4.756479,96.900045,50,,,,,
11230 - JANARATA,GD112300466,BAN043-00,BANDAR,4.749098,96.9097,50,,,,,
11230 - JANARATA,GD112300475,BAN044-00,BANDAR,4.737182,96.912474,50,,,,,
11230 - JANARATA,GD112300461,BAN045-00,"TANJUNG PURA, KANTOR DESA",4.73794,96.940157,50,,,,,
11230 - JANARATA,GD112300462,BAN046-00,SISIP KERAMAT JAYA,4.749444,96.921924,50,,,,,
11230 - JANARATA,GD112300041,BEK001-00,GUNUNG BENER KELIPAH,4.776386,96.922881,,,,,,
11230 - JANARATA,GD112300044,BEK002-00,KALA TENANG,4.771997,96.939383,,,,,,
11230 - JANARATA,GD112300042,BEK003-00,BENER LUKUP II,4.768836,96.907307,50,,,,,
11230 - JANARATA,GD112300043,BEK004-00,BENER KELIPAH,4.769606,96.922812,50,,,,,
11230 - JANARATA,GD112300319,BEK005-00,NOSAR,4.785016,96.896596,50,,,,,
11230 - JANARATA,GD112300045,BEK006-00,BENER PEPANYI,4.783087,96.920282,50,,,,,
11230 - JANARATA,GD112300057,BEK007-00,PLASTIK,4.805479,96.892621,25,,,,,
11230 - JANARATA,GD112300055,BEK008-00,BENER LUKUP I,4.768703,96.919697,15,,,,,
11230 - JANARATA,GD112300054,BEK009-00,BATHIN ATAS,4.781126,96.90262,50,,,,,
11230 - JANARATA,GD112300056,BEK010-00,GUNUNG JATI,4.796084,96.902721,25,,,,,
11230 - JANARATA,GD112300453,BEK011-00,MESJID BENER KELIFAH,4.775063,96.923865,50,,,,,
,,BEK012-00,,4.776624,96.901177,,,,,,
11230 - JANARATA,GD112300141,BUK001-00,REMBELE,4.707129,96.840459,100,,,,,
11230 - JANARATA,GD112300140,BUK002-00,KARANG REJO,4.709932,96.830464,50,,,,,
11230 - JANARATA,GD112300325,BUK003-00,REMBELE II,4.711938,96.836813,50,,,,,
11230 - JANARATA,GD112300115,BUK004-00,BELANG ARA,4.737653,96.893348,25,,,,,
11230 - JANARATA,GD112300116,BUK005-00,KENAWAT,4.724948,96.893485,50,,,,,
11230 - JANARATA,GD112300326,BUK006-00,KENAWAT II,4.723217,96.890077,50,,,,,
11230 - JANARATA,GD112300117,BUK007-00,DELUNG TUE,4.717813,96.888809,100,,,,,
11230 - JANARATA,GD112300118,BUK008-00,MUMU JAYA,4.709873,96.902782,50,,,,,
11230 - JANARATA,GD112300119,BUK010-00,REJE GURU,4.7221,96.879483,100,,,,,
11230 - JANARATA,GD112300328,BUK011-00,REJE GURU,4.718497,96.877929,50,,,,,
11230 - JANARATA,GD112300120,BUK012-00,PENDOPO BUPATI,4.716922,96.873351,50,,,,,
11230 - JANARATA,GD112300348,BUK013-00,SP RRI,4.717735,96.869843,50,,,,,
11230 - JANARATA,GD112300349,BUK014-00,PAYA GAJAH,4.72231,96.868509,50,,,,,
11230 - JANARATA,GD112300121,BUK015-00,PENDOPO BUPATI 2,4.719639,96.864831,50,,,,,
11230 - JANARATA,GD112300122,BUK016-00,TINGKEM BENYER,4.71511,96.86463,50,,,,,
11230 - JANARATA,GD112300306,BUK017-00,TINGKEM BENYER,4.719563,96.860284,50,,,,,
11230 - JANARATA,GD112300123,BUK018-00,PT SARI MAKMUR,4.715387,96.871724,160,,,,,
11230 - JANARATA,GD112300124,BUK019-00,BATIN WIH PONGAS,4.714767,96.871721,50,,,,,
11230 - JANARATA,GD112300125,BUK020-00,TINGKEM BERSATU,4.709754,96.871149,50,,,,,
